医生信息,擅长,问题,回答
张江 华北理工大学附属医院   主任医师,擅长: 擅长脑血管病，眩晕，头痛，心身疾病，睡眠障碍，帕金,"健康咨询描述：
为什么难过会流泪头疼",      在难过的时候会出现流眼泪的症状，也会出现头疼；这是因为人在难过的时候。会刺激脑部的血管神经。如果难过的情绪比较重，就有可能出现脑血管痉挛，从而出现血管神经性头痛。
陈健华 广州医科大学附属脑科医院   副主任医师,擅长: 失眠、焦虑、强迫症、抑郁发作、躁狂发作、双相情感障,"健康咨询描述：
突如其来的难过是因为什么导致的？为什么会突然间的难过？",      你好，根据你描述的这个情况，如果突然间有难过的情绪的话，考虑可能是最近有过情绪打击，或者是你自己本身有情绪，焦虑，抑郁紧张等情况，这个你自己得放松心情，学会调节，如果很严重的话，得需要去医院做心理疏导
赵鹏 济宁市中医院   主治医师,擅长: 擅长利用中西医结合治疗内科各种疾病。,"健康咨询描述：
我现在好难过好难过我无能为力我不知道我该怎么办？我现在很难受",      当一个人伤心难过的时候，可以通过转移注意力来缓解自己的痛苦，看一下自己对什么地方比较感兴趣，可以去转一转，散散心，可以缓解难过的情绪，也可以吃一顿美食，犒劳一下自己，对自己伤心难过的情绪也是有一定的改善的。
王珂 菏泽怡宁精神病医院   主治医师,擅长: 擅长精神分裂症、双相情感障碍、抑郁症、焦虑症、强迫,"健康咨询描述：
突然心里超难过想哭怎么回事",      突然心里难过如果自己不知道为什么难过考虑是潜意识引起的，通常因为情绪压抑导致，可以通过心理治疗来改善，比如精神动力学疗法中的催眠治疗，自由联想等等
常卫利 郑州大学第一附属医院   副主任医师,擅长: 焦虑症，抑郁症，失眠，青少年情绪行为问题，成瘾问题,"健康咨询描述：
精神分裂吃西药难过怎么办",      精神分裂症的患者吃西药感觉难过，这个疾病，目前主要的治疗方法就是在医生的指导下吃西药来治疗的，即使难过也是需要吃的，也可以适当的使用长效的针剂来治疗，不要盲目的停西药，因为这个药物如果反复停容易导致疾病反复复发，最终导致精神残疾，会导致终身吃药的。
李靖 晋中市第一人民医院   主治医师,擅长: 冠心病，高血压，心力衰竭，呼吸衰竭，肺炎，心律失常,"健康咨询描述：
骨髓移植什么时候难过",      骨髓移植手术后前一个月比较难过，因为会出现排异反应，排异反应严重的会出现各种感染发热，胃部不适等并发症。这种情况特别注意预防感染，饮食清淡，营养丰富。
蔡颖 辽宁省朝阳市中心医院   主任医师,擅长: 冠心病介入治疗，重症心梗、心衰恶性心律失常抢救，肺,"健康咨询描述：
难过的时候胸口一阵酸怎么治疗",      难过的时候，心口有些酸，这种情况应该还是胃不好引起的，因为伤心难过，生气的时候有时候就会引起胃不好，所以平时还是要注意有规律的生活，每天有个好的心态。
王珂 菏泽怡宁精神病医院   主治医师,擅长: 擅长精神分裂症、双相情感障碍、抑郁症、焦虑症、强迫,"健康咨询描述：
抑郁症难过死了怎么办？",      郁症会对患者造成痛苦导致患者觉得心情难过委屈以及情绪低落压抑，所以说得了抑郁症应该尽早的接受治疗常用的治疗方法包括药物治疗和心理治疗。
程利 武汉大学人民医院   副主任医师,擅长: 脓毒性，重症肺炎，消化道出血,"健康咨询描述：
为什么难过的时候头疼",      难过的时候情绪波动紧张，会出现脑血管痉挛紧张，性头痛，血管痉挛而引起的头痛，平时可以通过服用止痛药物，避免情绪波动，规律生活等方法对症调理。
王珂 菏泽怡宁精神病医院   主治医师,擅长: 擅长精神分裂症、双相情感障碍、抑郁症、焦虑症、强迫,"健康咨询描述：
心里总是很难过怎么回事",      心里总是很难过，说明情绪老是低落，这种情况很可能是患上了抑郁症，抑郁症是以情绪低落，愉快感丧失，兴趣缺乏为主要表现的一种心境障碍常常伴随着想法的消极悲观
张保华 首都医科大学附属北京安定医院   主任医师,擅长: 失眠、抑郁、精神分裂症、焦虑症等精神科疾病的药物治,"健康咨询描述：
精神分裂症难过怎么办",      作为一种重型精神病，精神分裂症可以对患者造成很大的痛苦和难过，同时会对患者的家人以及整个社会都会造成一定的影响和负担，所以说应该接受系统的精神科的治疗，常常是需要长期的服用抗精神病药
杨福特 邹平市中医院   主治医师,擅长: 擅长消化系统疾病的诊断与治疗，胃食管反流病，急慢性,"健康咨询描述：
肝硬化难过是怎么回事",      患者在得了肝硬化之后会出现难过，还有一些害怕紧张，恐惧这些负面的心理情况，这样是不对的，不利于患者治疗，不利于病情恢复，患者应该及时的纠正自己的心态，心态也是能够打败疾病的重要原因。
王宝贵 锦州市中心医院   副主任医师,擅长: 四肢骨折脱位，四肢神经血管损伤，颈椎病，腰椎间盘突,"健康咨询描述：
颈椎疼痛脖子酸难过难过",      颈椎间盘突出一定要多注意休息，避免劳累，不要长时间的低头。同时也要注意颈部的保暖，不要着凉，可以通过按摩和热敷的方式促进血液循环。对病情的恢复有一定的好处。
石影 保定市第一中医院   主治医师,擅长: 擅长高血压病、冠心病、各种类型心绞痛、心力衰竭、脑,"健康咨询描述：
情绪激动或者生气难过，紧张就会全身发抖，有时候会直接发低烧。",      全身发抖说明是情绪激动，生气，难过导致。为了身体健康就要保持愉快的心情，这种情况要远离不良的诱因，必要时要做神经科检查或心理科检查，病情发作的时候通常可以口服安定片。
蔡颖 辽宁省朝阳市中心医院   主任医师,擅长: 冠心病介入治疗，重症心梗、心衰恶性心律失常抢救，肺,"健康咨询描述：
肺心病半夜难过是怎么回事",      肺心病人半夜难过这种情况应该还是说病情很严重的，所以平时还是要注意有规律的生活，不能过于劳累，不能熬夜，不能生气，多吃点有营养的食物，坚持用药定期检查。
